task_name,standard_task_id,task_id,search_result,search_result3,search_result2
Монтаж изоляторов напряжением до 10 кВ,953,,953,изоляторов напряжением кв демонтаж монтаж,изоляторов напряжением кв демонтаж монтаж
Монтаж малых конструктивных элементов м/к,164,,164,мк ростверков фундаментов изготовление конструктивных,мк ростверков фундаментов изготовление конструктивных
Монтаж оборудования массой до 13 тн (Блок трансформатора собственных нужд 4000 кг),958,,958,тн оборудования массой демонтаж монтаж,тн оборудования массой демонтаж монтаж
Установка стальных опор ВЛ 35 - 500 кВ,173,,173,вл кв проводов стальных нитки,вл кв проводов стальных нитки
"Монтаж кабельных коробов, лотков",862,,862,коробов лотков кабельных демонтаж монтаж,коробов лотков кабельных демонтаж монтаж
Монтаж трубопроводов под кабельную продукцию,864,,864,кабельную продукцию гофрированной трубопроводов трубы,кабельную продукцию гофрированной трубопроводов трубы
Обратная засыпка грунта вручную (с уплотнением),43,,43,обратная засыпка грунта бульдозером экскаватором,обратная засыпка грунта бульдозером экскаватором
"Покрытие кабеля, проложенного в траншее (кирпичом)",881,,881,траншее проложенного кабеля кг массой,траншее проложенного кабеля кг массой
Прокладка металлорукава,863,,1172,водоотлив лесовосстановление металлорукава посев обоями,водоотлив лесовосстановление металлорукава посев обоями
Разработка грунта вручную,18,,18,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
"Монтаж кабельных коробов, лотков",862,,862,коробов лотков кабельных демонтаж монтаж,коробов лотков кабельных демонтаж монтаж
Монтаж металлических кабельных конструкций,861,,861,кабельных конструкций металлических демонтаж монтаж,кабельных конструкций металлических демонтаж монтаж
Монтаж металлических кабельных конструкций,861,,861,кабельных конструкций металлических демонтаж монтаж,кабельных конструкций металлических демонтаж монтаж
Монтаж металлических кабельных конструкций,861,,861,кабельных конструкций металлических демонтаж монтаж,кабельных конструкций металлических демонтаж монтаж
Монтаж оборудования сетей ЭМ (ЩИТ),894,,894,оборудования сетей демонтаж монтаж оэ,оборудования сетей демонтаж монтаж оэ
Монтаж светильников,896,,896,освещения светильников наружного демонтаж монтаж,освещения светильников наружного демонтаж монтаж
Монтаж соединительных коробок,904,,904,коробок соединительных демонтаж монтаж эхз,коробок соединительных демонтаж монтаж эхз
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 1 кг)",883,,883,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
Прокладка металлорукава,863,,1172,водоотлив лесовосстановление металлорукава посев обоями,водоотлив лесовосстановление металлорукава посев обоями
Монтаж оборудования сетей АТ,943,,943,оборудования сетей демонтаж монтаж оэ,оборудования сетей демонтаж монтаж оэ
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 1 кг)",883,,883,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
Разводка по устройствам и подключение жил слаботочных кабелей,923,,923,устройствам подключение разводка жил кабелей,устройствам подключение разводка жил кабелей
Монтаж металлических кабельных конструкций,861,,861,кабельных конструкций металлических демонтаж монтаж,кабельных конструкций металлических демонтаж монтаж
"Монтаж приборов, устройств и электроустановочных изделий АТ",944,,944,изделий электроустановочных устройств приборов сетей,изделий электроустановочных устройств приборов сетей
"Монтаж кабельных коробов, лотков",862,,862,коробов лотков кабельных демонтаж монтаж,коробов лотков кабельных демонтаж монтаж
Монтаж оборудования сетей АТ,943,,943,оборудования сетей демонтаж монтаж оэ,оборудования сетей демонтаж монтаж оэ
"Монтаж приборов, устройств и электроустановочных изделий АТ",944,,944,изделий электроустановочных устройств приборов сетей,изделий электроустановочных устройств приборов сетей
"Прокладка кабеля слаботочной сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 1 кг)",919,,919,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
Прокладка металлорукава,863,,1172,водоотлив лесовосстановление металлорукава посев обоями,водоотлив лесовосстановление металлорукава посев обоями
Разводка по устройствам, подключение жил кабелей (слаботочных),923.0,устройствам подключение разводка жил кабелей,устройствам подключение разводка жил кабелей,устройствам подключение разводка жил кабелей
Установка программного обеспечения: конфигурация и настройка оборудования СПД,942,,942,обеспечения барьерным системы воздухом монтаж,обеспечения барьерным системы воздухом монтаж
Монтаж оборудования сетей СС,929,,929,оборудования сетей демонтаж монтаж оэ,оборудования сетей демонтаж монтаж оэ
"Монтаж приборов, устройств и электроустановочных изделий сетей СС",930,,930,изделий электроустановочных устройств приборов сетей,изделий электроустановочных устройств приборов сетей
Монтаж соединительных коробок,904,,904,коробок соединительных демонтаж монтаж эхз,коробок соединительных демонтаж монтаж эхз
Монтаж трубопроводов под кабельную продукцию,864,,864,кабельную продукцию гофрированной трубопроводов трубы,кабельную продукцию гофрированной трубопроводов трубы
"Прокладка кабеля слаботочной сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 1 кг)",919,,919,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 1 кг)",883,,883,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
Прокладка самонесущего кабеля ВОЛС по железобетонным и стальным опорам вручную,926,,926,волс кабеля прокладка стальным самонесущего,волс кабеля прокладка стальным самонесущего
Разводка по устройствам и подключение жил электрических кабелей,893,,893,устройствам подключение разводка жил кабелей,устройствам подключение разводка жил кабелей
Установка муфт соединительных (кабель массой 1 м до 1 кг),888,,888,кабель муфт соединительных установка кг,кабель муфт соединительных установка кг
АКЗ м/к лакокрасочным покрытием,206,,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка
"Монтаж кабельных коробов, лотков",862,,862,коробов лотков кабельных демонтаж монтаж,коробов лотков кабельных демонтаж монтаж
Монтаж трубопроводов под кабельную продукцию,864,,864,кабельную продукцию гофрированной трубопроводов трубы,кабельную продукцию гофрированной трубопроводов трубы
Прокладка и присоединение проводника заземляющего из изолированного провода,902,,902,проводника заземляющего изолированного провода присоединение,проводника заземляющего изолированного провода присоединение
Прокладка кабеля слаботочной сети в траншее (массой 1 м до 1 кг),907,,907,траншее сети кг кабеля прокладка,траншее сети кг кабеля прокладка
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 1 кг)",883,,883,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 3 кг)",884,,884,коробах конструкциям блоках трубах сети,коробах конструкциям блоках трубах сети
Прокладка кабеля электрической сети по эстакадам (массой 1 м до 3 кг),872,,872,электрической эстакадам сети кг кабеля,электрической эстакадам сети кг кабеля
Разводка по устройствам и подключение жил электрических кабелей,893,,893,устройствам подключение разводка жил кабелей,устройствам подключение разводка жил кабелей
Разработка грунта вручную,18,,18,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Установка программного обеспечения: оборудование АСПС,942,,942,обеспечения барьерным системы воздухом монтаж,обеспечения барьерным системы воздухом монтаж
АКЗ бетонных поверхностей защитным покрытием,205,,205,акз защитным бетонных покрытием поверхностей,акз защитным бетонных покрытием поверхностей
АКЗ м/к лакокрасочным покрытием (сваи),206,,207,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка
Бетонирование фундаментов общего назначения,120,,120,бетонирование фундаментов перекрытия полов оборудование,бетонирование фундаментов перекрытия полов оборудование
Изготовление металлических свай, тонн (молниеприемные мачты),147.0,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Изготовление металлических свай, штучно (молниеприемные мачты),148.0,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Монтаж м/к фундаментов и ростверков (мачты),151,,151,мк ростверков фундаментов изготовление конструктивных,мк ростверков фундаментов изготовление конструктивных
Обварка м/к фундаментов и ростверков после их монтажа (мачты),152,,152,мк ростверков фундаментов изготовление конструктивных,мк ростверков фундаментов изготовление конструктивных
Обратная засыпка грунта бульдозером,44,,44,обратная засыпка грунта бульдозером экскаватором,обратная засыпка грунта бульдозером экскаватором
Подливка закладных деталей и анкеров,127,,127,деталей закладных анкеров подливка анкерных,деталей закладных анкеров подливка анкерных
Разработка грунта бульдозером,19,,19,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Разработка грунта вручную,18,,18,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Устройство бетонной подготовки,118,,118,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
Устройство основания из буроопускных металлических свай (молниеприемные мачты, шт),96.0,96,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство основания из буроопускных металлических свай (молниеприемные мачты, м3),101.0,96,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство теплоизоляционного экрана,73,,73,экрана теплоизоляционного устройство демонтаж эхз,экрана теплоизоляционного устройство демонтаж эхз
АКЗ м/к лакокрасочным покрытием (сваи),206,,207,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка
Изготовление металлических свай (порталы, тн),147.0,147,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Изготовление металлических свай (порталы, шт),148.0,147,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Обратная засыпка грунта бульдозером,44,,44,обратная засыпка грунта бульдозером экскаватором,обратная засыпка грунта бульдозером экскаватором
Разработка грунта бульдозером,19,,19,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Разработка грунта вручную,18,,18,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Статическое испытание грунтов сваями,106,,106,грунтов скальных рыхление водой сваями,грунтов скальных рыхление водой сваями
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
Устройство основания из буроопускных металлических свай, штучно (порталы),96.0,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство основания из буроопускных металлических свай, м3 (порталы),101.0,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство теплоизоляционного экрана,73,,73,экрана теплоизоляционного устройство демонтаж эхз,экрана теплоизоляционного устройство демонтаж эхз
АКЗ бетонных поверхностей защитным покрытием,205,,205,акз защитным бетонных покрытием поверхностей,акз защитным бетонных покрытием поверхностей
АКЗ м/к лакокрасочным покрытием (сваи, пескоструйный метод),206.0,207,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка
Бетонирование фундаментов общего назначения,120,,120,бетонирование фундаментов перекрытия полов оборудование,бетонирование фундаментов перекрытия полов оборудование
Водоотлив,37,,37,водоотлив лесовосстановление металлорукава посев обоями,водоотлив лесовосстановление металлорукава посев обоями
Изготовление металлических свай (эстакада, в тоннах),147.0,147,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Изготовление металлических свай (эстакада, штучно),148.0,147,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Монтаж м/к фундаментов и ростверков (эстакада),151,,151,мк ростверков фундаментов изготовление конструктивных,мк ростверков фундаментов изготовление конструктивных
Обварка м/к фундаментов и ростверков после их монтажа (эстакада),152,,152,мк ростверков фундаментов изготовление конструктивных,мк ростверков фундаментов изготовление конструктивных
Обратная засыпка грунта бульдозером,44,,44,обратная засыпка грунта бульдозером экскаватором,обратная засыпка грунта бульдозером экскаватором
Подливка закладных деталей и анкеров,127,,127,деталей закладных анкеров подливка анкерных,деталей закладных анкеров подливка анкерных
Разработка грунта бульдозером,19,,19,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Разработка грунта вручную,18,,18,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Статическое испытание грунтов сваями,106,,106,грунтов скальных рыхление водой сваями,грунтов скальных рыхление водой сваями
Устройство бетонной подготовки,118,,118,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
Устройство основания из буроопускных металлических свай (эстакада, шт),96.0,96,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство основания из буроопускных металлических свай (эстакада, метр. куб.),101.0,96,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство теплоизоляционного экрана,73,,73,экрана теплоизоляционного устройство демонтаж эхз,экрана теплоизоляционного устройство демонтаж эхз
АКЗ м/к лакокрасочным покрытием (сваи),206,,207,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка
Армирование и бетонирование монолитных участков из бетона,705,,705,армирование монолитных участков бетона конструкций,армирование монолитных участков бетона конструкций
Армирование монолитных железобетонных конструкций (кабельные лотки),117,,117,армирование монолитных участков бетона конструкций,армирование монолитных участков бетона конструкций
Бетонирование отдельных конструкций в мелкощитовой опалубке (кабельные лотки),125,,125,бетонирование фундаментов перекрытия полов оборудование,бетонирование фундаментов перекрытия полов оборудование
Изготовление металлических свай (опоры изоляторов, шт),148.0,147,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Изготовление металлических свай, тн (опоры изоляторов),147.0,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Кладка конструкций из кирпича,144,,144,кладка кирпича стен пеноблоков пазогребневых,кладка кирпича стен пеноблоков пазогребневых
Монтаж железобетонных лотков (шт),720,,720,лотков железобетонных монтаж перекрытий водоотводных,лотков железобетонных монтаж перекрытий водоотводных
Монтаж железобетонных лотков (м. куб.),722,,720,лотков железобетонных монтаж перекрытий водоотводных,лотков железобетонных монтаж перекрытий водоотводных
"Монтаж фундаментных, стеновых блоков и плит",133,,133,фундаментных стеновых плит блоков демонтаж,фундаментных стеновых плит блоков демонтаж
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
Устройство основания из буроопускных металлических свай, штучно (опоры изоляторов),96.0,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство основания из буроопускных металлических свай, м3 (опоры изоляторов),101.0,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство теплоизоляционного экрана,73,,73,экрана теплоизоляционного устройство демонтаж эхз,экрана теплоизоляционного устройство демонтаж эхз
